수준	날짜 및 시간	원본	이벤트 ID	작업 범주
정보	2018-02-26 오후 12:00:00	EventLog	6013	없음	시스템 작동 시간은 552678초입니다.
오류	2018-02-26 오전 11:04:18	Microsoft-Windows-DistributedCOM	10016	없음	"응용 프로그램별 권한 설정에서 CLSID가 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
이고 APPID가 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
인 COM 서버 응용 프로그램에 대한 로컬 활성화 사용 권한을 응용 프로그램 컨테이너 사용할 수 없음 SID(사용할 수 없음)에서 실행 중인 주소 LocalHost(LRPC 사용)의 사용자 NT AUTHORITY\LOCAL SERVICE SID(S-1-5-19)에게 부여하지 않았습니다. 구성 요소 서비스 관리 도구를 사용하여 이 보안 권한을 수정할 수 있습니다."
오류	2018-02-26 오전 10:14:06	Microsoft-Windows-DistributedCOM	10016	없음	"응용 프로그램별 권한 설정에서 CLSID가 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
이고 APPID가 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
인 COM 서버 응용 프로그램에 대한 로컬 활성화 사용 권한을 응용 프로그램 컨테이너 사용할 수 없음 SID(사용할 수 없음)에서 실행 중인 주소 LocalHost(LRPC 사용)의 사용자 DESKTOP-VDAKD4D\noble SID(S-1-5-21-3663961258-2295108646-1993617583-1001)에게 부여하지 않았습니다. 구성 요소 서비스 관리 도구를 사용하여 이 보안 권한을 수정할 수 있습니다."
오류	2018-02-26 오전 10:07:47	Microsoft-Windows-DistributedCOM	10016	없음	"응용 프로그램별 권한 설정에서 CLSID가 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
이고 APPID가 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
인 COM 서버 응용 프로그램에 대한 로컬 활성화 사용 권한을 응용 프로그램 컨테이너 사용할 수 없음 SID(사용할 수 없음)에서 실행 중인 주소 LocalHost(LRPC 사용)의 사용자 NT AUTHORITY\LOCAL SERVICE SID(S-1-5-19)에게 부여하지 않았습니다. 구성 요소 서비스 관리 도구를 사용하여 이 보안 권한을 수정할 수 있습니다."
정보	2018-02-26 오전 10:05:10	Microsoft-Windows-Kernel-Power	105	(100)	전원 변경.
정보	2018-02-26 오전 10:04:51	Microsoft-Windows-UserModePowerService	12	(10)	C:\Program Files (x86)\afreeca\afreecatvstreamer.exe 프로세스(프로세스 ID:5256)가 {381B4222-F694-41F0-9685-FF5BB260DF2E}에서 {381B4222-F694-41F0-9685-FF5BB260DF2E}(으)로 정책 구성표를 다시 설정했습니다.
정보	2018-02-26 오전 10:04:50	Microsoft-Windows-UserModePowerService	12	(10)	C:\Program Files (x86)\afreeca\afreecatvstreamer.exe 프로세스(프로세스 ID:5256)가 {381B4222-F694-41F0-9685-FF5BB260DF2E}에서 {381B4222-F694-41F0-9685-FF5BB260DF2E}(으)로 정책 구성표를 다시 설정했습니다.
정보	2018-02-26 오전 10:04:48	Microsoft-Windows-Power-Troubleshooter	1	없음	"시스템이 저전원 상태에서 복귀되었습니다.

절전 모드 시간: ‎2018‎-‎02‎-‎25T17:36:16.998775900Z
절전 모드 해제 시간: ‎2018‎-‎02‎-‎26T01:04:48.801116400Z

절전 모드 해제 원본: 전원 단추"
정보	2018-02-26 오전 10:04:48	Microsoft-Windows-Kernel-Power	105	(100)	전원 변경.
경고	2018-02-26 오전 10:04:47	BTHUSB	34	없음	로컬 어댑터가 주변 장치 모드를 지원하는 데 중요한 저에너지 컨트롤러 상태를 지원하지 않습니다. 지원되는 최소 필수 상태 마스크는 0x491f7fffff인데 0x1fffffff을(를) 받았습니다. 저에너지 주변 장치 역할 기능을 사용할 수 없습니다.
정보	2018-02-26 오전 10:04:47	BTHUSB	18	없음	Bluetooth 인증 코드(연결 키)를 로컬 어댑터에 저장할 수 없습니다. 시작 시 Bluetooth 키보드가 시스템 BIOS에서 작동하지 않을 수 있습니다.
정보	2018-02-26 오전 10:04:47	MEIx64	2	없음	Intel(R) Management Engine Interface driver has started successfully.
정보	2018-02-26 오전 10:04:45	Microsoft-Windows-Kernel-General	1	(5)	"시스템 시간이 ‎2018‎-‎02‎-‎25T17:36:19.664606100Z에서 ‎2018‎-‎02‎-‎26T01:04:45.500000000Z(으)로 변경되었습니다.

변경 이유: System time synchronized with the hardware clock."
정보	2018-02-26 오전 2:36:19	Microsoft-Windows-Kernel-Power	107	(102)	시스템이 절전 모드에서 다시 시작되었습니다.
정보	2018-02-26 오전 2:36:19	Microsoft-Windows-Kernel-Power	42	(64)	"시스템이 절전 모드로 전환하는 중입니다.

절전 모드 전환 이유: Button or Lid"
정보	2018-02-26 오전 12:05:06	Microsoft-Windows-UserModePowerService	12	(10)	C:\Program Files (x86)\afreeca\afreecatvstreamer.exe 프로세스(프로세스 ID:5256)가 {381B4222-F694-41F0-9685-FF5BB260DF2E}에서 {381B4222-F694-41F0-9685-FF5BB260DF2E}(으)로 정책 구성표를 다시 설정했습니다.
정보	2018-02-26 오전 12:05:06	Microsoft-Windows-UserModePowerService	12	(10)	C:\Program Files (x86)\afreeca\afreecatvstreamer.exe 프로세스(프로세스 ID:5256)가 {381B4222-F694-41F0-9685-FF5BB260DF2E}에서 {381B4222-F694-41F0-9685-FF5BB260DF2E}(으)로 정책 구성표를 다시 설정했습니다.
오류	2018-02-26 오전 12:04:29	Microsoft-Windows-DistributedCOM	10016	없음	"응용 프로그램별 권한 설정에서 CLSID가 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
이고 APPID가 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
인 COM 서버 응용 프로그램에 대한 로컬 활성화 사용 권한을 응용 프로그램 컨테이너 사용할 수 없음 SID(사용할 수 없음)에서 실행 중인 주소 LocalHost(LRPC 사용)의 사용자 DESKTOP-VDAKD4D\noble SID(S-1-5-21-3663961258-2295108646-1993617583-1001)에게 부여하지 않았습니다. 구성 요소 서비스 관리 도구를 사용하여 이 보안 권한을 수정할 수 있습니다."
경고	2018-02-25 오후 9:32:58	Microsoft-Windows-DNS-Client	1014	(1014)	구성된 DNS 서버 중 응답하는 서버가 없어 wpad 이름을 확인하는 동안 시간이 초과되었습니다.
경고	2018-02-25 오후 9:32:51	Microsoft-Windows-DNS-Client	1014	(1014)	구성된 DNS 서버 중 응답하는 서버가 없어 wpad 이름을 확인하는 동안 시간이 초과되었습니다.
정보	2018-02-25 오후 9:32:35	Microsoft-Windows-Power-Troubleshooter	1	없음	"시스템이 저전원 상태에서 복귀되었습니다.

절전 모드 시간: ‎2018‎-‎02‎-‎25T12:07:24.375143300Z
절전 모드 해제 시간: ‎2018‎-‎02‎-‎25T12:32:35.731374500Z

절전 모드 해제 원본: 전원 단추"
경고	2018-02-25 오후 9:32:35	BTHUSB	34	없음	로컬 어댑터가 주변 장치 모드를 지원하는 데 중요한 저에너지 컨트롤러 상태를 지원하지 않습니다. 지원되는 최소 필수 상태 마스크는 0x491f7fffff인데 0x1fffffff을(를) 받았습니다. 저에너지 주변 장치 역할 기능을 사용할 수 없습니다.
